OSSIFIED,WHATPOTIONSHAVEIDRUN,KZSBU WXLCF KPFDI LRJMV 
WORMLIKE,THATYOUWEREONCEUNKIN,PVRFJ WEAAF VAYKO YJYZZ 
LAVISHED,TISBETTERTOBEVILETHA,EINJW AXHCT JJWCM OPTCI 
KEENNESS,THYGIFTTHYTABLESAREW,DLCTV JLLRC XNOPW KKVIJ 
EXPIRING,NOTIMETHOUSHALTNOTBO,RLIQD MGNSR HPRTG TSQQW 
FORTKNOX,IFMYDEARLOVEWEREBUTT,NTDRN ROOQC MXGRF BGIKM 
FAIRWAYS,WERETAUGHTTOMEIBORET,BEZVP ASYMT BFIEG TTRMK 
OUTLIVED,OTHOUMYLOVELYBOYWHOI,CNAZC HCOCP XWGWS BKBHT 
SWEATIER,INTHEOLDAGEBLACKWASN,AJXHX WPUSC IBEIG BOWWN 
INCOMERS,HOWOFTWHENTHOUMYMUSI,PBYCR XNZMA VVAYD QUHUW 
RETCHING,THEEXPENSEOFSPIRITIN,KLXGE XRTJI HHZXV XZXBP 
TEAPARTY,MYMISTRESSEYESARENOT,FCMXS KKCLW ENEJT PXROI 
SANITISE,THOUARTASTYRANNOUSSO,LHBCT ZLEKT LZTVF SMSFW 
MINIMISE,THINEEYESILOVEANDTHE,FPVVQ MQIEQ YWHMS RPBUM 
GROWNUPS,BESHREWTHATHEARTTHAT,HVGDE YLLNR HDRUG LZYOP 
HUGUENOT,SONOWIHAVECONFESSDTH,ZITIA VVTCY IIRSS LZXZB 
SERENADE,WHOEVERHATHHERWISHTH,OLFII EULSX YLRRZ MKLKL 
URETHRAE,IFTHYSOULCHEQUETHEET,CWXAF JOYFT LXXLE XBVIM 
DEFENCES,THOUBLINDFOOLLOVEWHA,WLTYO NMFGJ TSYNS NHAME 
STENCHES,WHENMYLOVESWEARSTHAT,OAIAO FPGNX WJGHV KLAEG 
PERVERSE,OCALLNOTMETOJUSTIFYT,DGRGP EGXBI KJNLK XXJPO 
LOCATING,BEWISEASTHOUARTCRUEL,MSYIL MNYEV QUTZG ICIGL 
NEUROTIC,INFAITHIDONOTLOVETHE,VRZRW MPKQS HFHEW XRXBV 
WILDFOWL,LOVEISMYSINANDTHYDEA,HWGHN GIJOQ YDSRP SULPD 
ANACONDA,LOASACAREFULHOUSEWIF,LBAUO PDRES UNVBX SEJIH 
FLOGGING,TWOLOVESIHAVEOFCOMFO,YHCRU DRYNS OBKWS ITXTU 
PARASOLS,THOSELIPSTHATLOVESOW,IHFSW ZTHHT YALZZ NTSFW 
RESTYLED,POORSOULTHECENTREOFM,GSGKQ ZYOKL WVCYX UVSXF 
INSOMNIA,MYLOVEISASAFEVERLONG,ULDCH RQSIF STQIM RTBFU 
TOILETTE,OMEWHATEYESHATHLOVEP,HAMHL TMIRS ASEMA PHJMA 
SCOTSMAN,CANSTTHOUOCRUELSAYIL,UCBLL FHBMQ QKMQL FSAWE 
PRONOUNS,OFROMWHATPOWERHASTTH,DWFBA QUSIG CJSLU SHKHU 
ATTACKER,LOVEISTOOYOUNGTOKNOW,LHOEK CXFOR HUPQX FKGHW 
OUTWEIGH,INLOVINGTHEETHOUKNOW,WHEKZ QTNHB XAXPU BYHHS 
THURSDAY,CUPIDLAIDBYHISBRANDA,VBJZV OAGWI SYAVB PTUXR 
ADORABLE,THELITTLELOVEGODLYIN,TKSCI UEPEO CMEHZ HLBWE 
WRESTLER,FROMFAIRESTCREATURES,BISEY LMIAJ XUKPE KQIIK 
PANDEMIC,WHENFORTYWINTERSSHAL,LHRQJ AZVNW VQXQZ UHHNO 
PORKCHOP,LOOKINTHYGLASSANDTEL,ACFUK UHWNU CKUZO CSHVV 
PANICKED,UNTHRIFTYLOVELINESSW,JNGPT SJWNL BDGVM QTSFE 
STOCKADE,THOSEHOURSTHATWITHGE,LACUO HRYJL HJKTZ MLAUG 
HILLSIDE,THENLETNOTWINTERSRAG,APPYD MWRVB HTFBH VZZLR 
CREDITED,LOINTHEORIENTWHENTHE,NFMQB AIRTZ IQBPL HPKLH 
CONNIVED,MUSICTOHEARWHYHEARST,OIFVK OSKGO EJPTL HCFFG 
SQUARISH,ISITFORFEARTOWETAWID,AICTW WJMWQ LTFEW ASMCD 
BLOTCHED,FORSHAMEDENYTHATTHOU,GZFLJ HQHEP BRVOE WUSCN 
DAIRYING,ASFASTASTHOUSHALTWAN,DSNRQ BNYWH WLQPN RWWIE 
PLAYBACK,WHENIDOCOUNTTHECLOCK,LSELJ DQMDF NRUHG MAZCI 
BRAWLING,OTHATYOUWEREYOURSELF,PKHWE GBAXV RAJWH XTVLB 
GRIEVING,NOTFROMTHESTARSDOIMY,TFBJM WZZNV AXVZF JUZUC 
FRACTURE,WHENICONSIDEREVERYTH,BYEPB WFRXZ DGKYM IWPTJ 
LIVELIER,BUTWHEREFOREDONOTYOU,MCOAS MVVQW MIOWR FEGJY 
CLINICAL,WHOWILLBELIEVEMYVERS,YSWJQ NLMGW QRDGM JXPZF 
APPEARED,SHALLICOMPARETHEETOA,SWPPL ZGRME PVEKL HEIDE 
COMMUTER,DEVOURINGTIMEBLUNTTH,FSHAO KMEIH UYYUP LPHFT 
ADJUSTED,AWOMANSFACEWITHNATUR,AZXGS GWIAF NQAML QAWDL 
ANGOLANS,SOISITNOTWITHMEASWIT,SBOGT TAGTJ OHSMR SSJOH 
QUOTABLE,MYGLASSSHALLNOTPERSU,CSUEA TDWXU ZENPE TULGN 
COMEDOWN,ASANUNPERFECTACTORON,CGMRX BLRTT QGWOY GQFAR 
SPRAINED,MINEEYEHATHPLAYDTHEP,EXEEM LIKSI YPTNC GLWVP 
LIKENING,LETTHOSEWHOAREINFAVO,WMDXU WFKHP YEEMV TQIFS 
FLANKING,LORDOFMYLOVETOWHOMIN,QZRQY NZEQZ VRDWJ NTXIA 
GRIMIEST,WEARYWITHTOILIHASTEM,CVIDG AAMNK WUTMZ TYKMY 
NEUTRINO,HOWCANITHENRETURNINH,USQVR VVHUI HKVBH FAMHA 
FACTIONS,WHENINDISGRACEWITHFO,BHGGQ BQAXG TTKSJ AYHHH 
EMERITUS,WHENTOTHESESSIONSOFS,ATIEB HNZIE IJABI FWAJJ 
TENDENCY,THYBOSOMISENDEAREDWI,MLLES FQKBW RQHRC PXHJL 
TIGERISH,IFTHOUSURVIVEMYWELLC,BNZLF CKBKD OZVUQ DXTRG 
MANDARIN,FULLMANYAGLORIOUSMOR,RUYOM RVLMG YRRZW HEMBU 
BACKLASH,WHYDIDSTTHOUPROMISES,XHANT DKAUH QEARG TJSGC 
CURRICLE,NOMOREBEGRIEVEDATTHA,PIDFZ GMIIL ZVDGO EVNYR 
PUNCTUAL,LETMECONFESSTHATWETW,AYGOX WOYUY FUMBA ELYGY 
IMPELLED,ASADECREPITFATHERTAK,IEPHP NVHXU IJLEL HZFPO 
DROOLING,HOWCANMYMUSEWANTSUBJ,KFKQL VZEPL GSHIA ZVLPX 
SHALLOTS,OHOWTHYWORTHWITHMANN,GOOHE VROGY TSHWM ZEHNY 
ADDICTED,TAKEALLMYLOVESMYLOVE,TDNMC EPPYO RDGLQ BLRYM 
MEALTIME,THOSEPETTYWRONGSTHAT,FLODX XQXFC WCHVS WFLAE 
HARRIERS,THATTHOUHASTHERITISN,AHRKB LFMOA JKPII AAIJE 
FLIPPERS,WHENMOSTIWINKTHENDOM,BSMCB SJLNH QCZXY WSOWB 
STARTLES,IFTHEDULLSUBSTANCEOF,AYTYX OYDDL USLEE FUXOW 
POLISHER,THEOTHERTWOSLIGHTAIR,IVPWL OIIIK ZADPK YIOTZ 
SCOTTISH,MINEEYEANDHEARTAREAT,EKBXX GWHFF VXTZL HJGOM 
BROUHAHA,BETWIXTMINEEYEANDHEA,CVHQP XAMJE SYFEH NEYSU 
WHISKEYS,HOWCAREFULWASIWHENIT,DVEUK VCXQS ESCMU ZAUQL 
PARODIES,AGAINSTTHATTIMEIFEVE,PGRWQ AXLWA KHLUI AUEMS 
IMPURITY,HOWHEAVYDOIJOURNEYON,PALBV IOWLA XDFCK LMKDH 
ESCHEWED,THUSCANMYLOVEEXCUSET,XZWZG WRPCD QCIAB FYKGA 
ENSLAVED,SOAMIASTHERICHWHOSEB,WBSXI VWWLR JTCCA KSFWM 
SHUDDERS,WHATISYOURSUBSTANCEW,OOUWL WPGMY MXEWK SFJYZ 
YUMMIEST,OHOWMUCHMOREDOTHBEAU,MBAIU YUAKI DQLSL AZYMG 
FOOTLESS,NOTMARBLENORTHEGILDE,SCHFL VTDJB CKELW YNZRX 
PASSIONS,SWEETLOVERENEWTHYFOR,HWWWB ZBNTR WFMKG ZNFGJ 
SHOWIEST,BEINGYOURSLAVEWHATSH,TLWJO CGNJZ ZWDIO ASAGD 
UNLACING,THATGODFORBIDTHATMAD,NULTI WQLIE MIFBU GNZLD 
PREVIOUS,IFTHEREBENOTHINGNEWB,XWXCM FYTTE SOPWH YCVAW 
SIXPENCE,LIKEASTHEWAVESMAKETO,DQHTE FVLWE XKIFO ECMQD 
RUNNABLE,ISITTHYWILLTHYIMAGES,ZMVGT IJAZF YGHZT QRARF 
COOKWARE,SINOFSELFLOVEPOSSESS,UWBYB SVPHZ CFAPF WUSGC 
CEMETERY,AGAINSTMYLOVESHALLBE,CKMMG WKKAP AZXWY YNPNI 
FORESEES,WHENIHAVESEENBYTIMES,BVVRA LENJG VIFFC LNAVW 
DRINKERS,SINCEBRASSNORSTONENO,VZVPO FISVJ VBBWK GQVVB 
CAGOULES,TIREDWITHALLTHESEFOR,VIXSX HMLJA RZNSI KGFUF 
FRUCTOSE,AHWHEREFOREWITHINFEC,FYQJX FWJTI YYBHZ MSWYE 
PYRIDINE,THUSISHISCHEEKTHEMAP,IFLAL AUMHA YMHSG LTKRX 
BLITHELY,THOSEPARTSOFTHEETHAT,USWLL TLPUD WYALP CUSIM 
ARDENTLY,THATTHOUARTBLAMEDSHA,TYDXG AZSAI WFYTX CDJKE 
MISSIONS,NOLONGERMOURNFORMEWH,ZWDGV URJYW MJVTB JYMOZ 
MUTILATE,OLESTTHEWORLDSHOULDT,AFXAE TAIII KTOSA SGFWB 
SPARROWS,THATTIMEOFYEARTHOUMA,LWAKK WIWGU YVRFP ZGJMR 
MARITIME,BUTBECONTENTEDWHENTH,NUKJX KARFE EBXLI LQNKP 
SAPPHIRE,SOAREYOUTOMYTHOUGHTS,KOPGL GFYLO BNAPF YYHIH 
FOOTWORK,WHYISMYVERSESOBARREN,BVMBO APFJF GXOCS KWFSG 
OVERTONE,THYGLASSWILLSHOWTHEE,HCCXE OFWKD PCLVB AHCIV 
FINITELY,SOOFTHAVEIINVOKEDTHE,XWBNM LLTJQ VVOSV CIBUM 
PURIFIED,WHILSTIALONEDIDCALLU,LBZTX BMDAI EMIQH FPFCC 
MENSWEAR,OHOWIFAINTWHENIOFYOU,ALBOE JAZZX JZARI FRCBM 
ILLIQUID,ORISHALLLIVEYOUREPIT,WCTAX UTOTT GMOIC UMATB 
DEBATERS,IGRANTTHOUWERTNOTMAR,LKSAG XKZRY XEKXE GWQBR 
MUDGUARD,INEVERSAWTHATYOUDIDP,UHHBY RJDIN KGNYF XPCGV 
SHIPPING,WHOISITTHATSAYSMOSTW,OOWXH QGZZH BHPGF SGZBL 
JEERINGS,MYTONGUETIEDMUSEINMA,VCXFV TAWCM IUUHY WRRQR 
NIHILIST,WASITTHEPROUDFULLSAI,JIZQE BZXCZ VCONM EYAHQ 
ESPECIAL,FAREWELLTHOUARTTOODE,JSGIY MLWXZ DYCZT ESGSI 
DIACONAL,WHENTHOUSHALTBEDISPO,ZPEPH UOFVP ANHOE OLAPQ 
FOREMOST,SAYTHATTHOUDIDSTFORS,XOPXT OLMMC LHURK MKCIW 
AGENDUMS,THENHATEMEWHENTHOUWI,TNIAK UFWMK AUHHF ZOAAV 
MOTIONED,SOMEGLORYINTHEIRBIRT,ECFMU YSUKW GBVRM UNWKB 
NOCTUIDS,BUTDOTHYWORSTTOSTEAL,OIVWI BKQJC TLNBR KGSCE 
ENTREATS,SOSHALLILIVESUPPOSIN,WBLYE LEAPV OVWUI HSFBE 
BARONAGE,THEYTHATHAVEPOWERTOH,UHVMG HGXIA MSCOC ISTFV 
ISOLATED,HOWSWEETANDLOVELYDOS,PGKDW XIWIF RWOOI OGVCD 
THUDDING,SOMESAYTHYFAULTISYOU,LVGHV ILZAF ZDXTG OLFIX 
ENFOLDED,HOWLIKEAWINTERHATHMY,LBBZT NIDAV SHPUL DXURM 
UNBARRED,FROMYOUHAVEIBEENABSE,ZEPMP FYKUI FISVI QUOTE 
DEVIANCY,THEFORWARDVIOLETTHUS,WLZNO EYYUH QQOYG RWLPA 
HOODLUMS,WHEREARTTHOUMUSETHAT,DVSUP UDLAV CXXOE WAVOW 
DIOXIDES,OTRUANTMUSEWHATSHALL,RBFRI QXEXA STPDX KKIZI 
TREASONS,MYLOVEISSTRENGTHENDT,FPPON SVKLK VEFUG ZXEHT 
SKYDIVER,ALACKWHATPOVERTYMYMU,SVYFS RLRLZ MYMMX PEIKX 
DRAWCORD,TOMEFAIRFRIENDYOUNEV,WFMAH OZUII IAPRP RXEER 
LEGALITY,LETNOTMYLOVEBECALLDI,WIZNZ BFWWS BEMMV YWPJI 
SHRIEKED,WHENINTHECHRONICLEOF,OOVVM XXKWJ YZSXM FDLFN 
BADLANDS,WHENINTHECHRONICLEOF,XHHYI AWZFC KCOAL UMERQ 
OBJECTED,NOTMINEOWNFEARSNORTH,BPCQK GIRKO OICKW QCSCL 
EERINESS,WHATSINTHEBRAINTHATI,ALRBF MFLLI SZNMF LLEKQ 
CARDINAL,ONEVERSAYTHATIWASFAL,QNVYM ESLAT YDBVW LUFRO 
FEDERATE,ALASTISTRUEIHAVEGONE,FPDWK ILXWY HMYAO ILSQI 
MEGATONS,OFORMYSAKEDOYOUWITHF,AJURF MFSWI JORCH OUXNF 
VIOLATOR,YOURLOVEANDPITYDOTHT,TWICL HJVVV RAIMM UJBVE 
SHORTENS,SINCEILEFTYOUMINEEYE,KPBTX MYWXA MFNQV FWLMV 
CONDONES,ORWHETHERDOTHMYMINDB,QFJKS GLWTR BWVZC EKBQE 
NOTATION,THOSELINESTHATIBEFOR,GVHSX TWARG MHTBW ORTHR 
JANITORS,LETMENOTTOTHEMARRIAG,UEGUX BFLCO GPXAR JAINO 
PARASITE,ACCUSEMETHUSTHATIHAV,PCTUK MFIIH LSLPT XXHRV 
BUSHIEST,LIKEASTOMAKEOURAPPET,MCCLI WLHNU CLWYJ TQJWA 
DIOPTRES,WHATPOTIONSHAVEIDRUN,ZPOII FXARV GWTMI AGZIC 
CLINGERS,THATYOUWEREONCEUNKIN,VSIGE SLOGC MBTGV MPVQA 
AXEHEADS,TISBETTERTOBEVILETHA,TFWII TWWRQ SIIVL DEQLH 
REBOOTED,THYGIFTTHYTABLESAREW,KLZUW YXWYC UOPEI VRVFK 
GRATUITY,NOTIMETHOUSHALTNOTBO,TFTBG MMFUL SAUTM LUKBH 
REINSERT,IFMYDEARLOVEWEREBUTT,ZJULV IRKCS DROII XSYBG 
MOONSHOT,WERETAUGHTTOMEIBORET,ISFRL HIZTH HBELW UAFSG 
WOMANISE,OTHOUMYLOVELYBOYWHOI,KHTOH UQPKJ QLLJG CSVAI 
GLOSSILY,INTHEOLDAGEBLACKWASN,OYHZW WWBGR STDIN ICLGF 
KINSHASA,HOWOFTWHENTHOUMYMUSI,RWJGM TOHOV GZVUE YWCFA 
UNRIDDLE,THEEXPENSEOFSPIRITIN,NUVMA SPRMR FNVST VCGZV 
TRAMWAYS,MYMISTRESSEYESARENOT,FPMUO TPWLJ EKASY JXEOF 
MAGNATES,THOUARTASTYRANNOUSSO,FHUHA KXSET EEAGR GGSYB 
TIMEBASE,THINEEYESILOVEANDTHE,MPURF EQILQ XSWES RWBTI 
OUTLIERS,BESHREWTHATHEARTTHAT,PYLSZ INLVU MSMEI LHBTE 
DOGEARED,SONOWIHAVECONFESSDTH,VCTSW ZLDYS ISNWI VVRZL 
EXHALING,WHOEVERHATHHERWISHTH,AEVEG MENEQ OHPZJ OWEAH 
SQUEEZER,IFTHYSOULCHEQUETHEET,AVNLC RSLDS BIUTI KZUYX 
CANTEENS,THOUBLINDFOOLLOVEWHA,VHBNF PVFFF BHPPB NGWUT 
PALATIAL,WHENMYLOVESWEARSTHAT,LHPNF GLZKE DWXIR DIHLT 
BURNINGS,OCALLNOTMETOJUSTIFYT,PWRYT AULNY KBRHY LJZPG 
ACCLAIMS,BEWISEASTHOUARTCRUEL,BGYTS MMKTJ QFAZF URWGW 
LISTINGS,INFAITHIDONOTLOVETHE,TVXTQ GNAOW FHBYU NPBZX 
